variant_id,preamble_length_bits,pilot_length_bits,payload_chunk_bits,waveform,modulation,stress_profile,robust_usable_threshold_snr_db,usable_snr_points,total_snr_points,average_ber_all_snr,average_accuracy_all_snr,average_success_rate_all_snr,average_pilot_match_rate_all_snr,average_abs_frequency_error_ppm,mean_overhead_ratio,mean_sync_bits,mean_frame_bit_count
11,16,8,64,chirp,psk,severe_positive_drift,not_reached,0,3,0.6432291666666666,0.3567708333333333,0.0,1.0,1150.0,0.15789473684210525,24.0,152.0
11,16,8,64,sine,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.15789473684210525,24.0,152.0
11,16,8,64,sine,psk,combined_drift_timing,not_reached,0,3,0.13802083333333334,0.8619791666666666,0.0,1.0,416.6666666666667,0.15789473684210525,24.0,152.0
11,16,8,64,sine,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.15789473684210525,24.0,152.0
11,16,8,64,sine,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.15789473684210525,24.0,152.0
11,16,8,64,sine,psk,severe_positive_drift,not_reached,0,3,0.5729166666666666,0.4270833333333333,0.0,1.0,1150.0,0.15789473684210525,24.0,152.0
11,16,8,64,square,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.15789473684210525,24.0,152.0
11,16,8,64,square,psk,combined_drift_timing,not_reached,0,3,0.18229166666666666,0.8177083333333334,0.0,1.0,450.0,0.15789473684210525,24.0,152.0
11,16,8,64,square,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.15789473684210525,24.0,152.0
11,16,8,64,square,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.15789473684210525,24.0,152.0
11,16,8,64,square,psk,severe_positive_drift,not_reached,0,3,0.4791666666666667,0.5208333333333334,0.0,1.0,750.0,0.15789473684210525,24.0,152.0
12,16,8,128,chirp,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.1111111111111111,16.0,144.0
12,16,8,128,chirp,psk,combined_drift_timing,not_reached,0,3,0.2890625,0.7109375,0.0,1.0,450.0,0.1111111111111111,16.0,144.0
12,16,8,128,chirp,psk,moderate_negative_drift,not_reached,0,3,0.6536458333333334,0.3463541666666667,0.0,1.0,450.0,0.1111111111111111,16.0,144.0
12,16,8,128,chirp,psk,moderate_positive_drift,not_reached,0,3,0.6458333333333334,0.3541666666666667,0.0,1.0,450.0,0.1111111111111111,16.0,144.0
12,16,8,128,chirp,psk,severe_positive_drift,not_reached,0,3,0.5625,0.4375,0.0,1.0,750.0,0.1111111111111111,16.0,144.0
12,16,8,128,sine,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.1111111111111111,16.0,144.0
12,16,8,128,sine,psk,combined_drift_timing,not_reached,0,3,0.2708333333333333,0.7291666666666666,0.0,1.0,583.3333333333334,0.1111111111111111,16.0,144.0
